Symbol,Company Name,Industry,Market Cap
AKTX,"Akari Therapeutics,",Biotechnology,21011905
AKU,Akumin,Diagnostics & Research,35294413
AKYA,Akoya Biosciences,Medical Instruments & Supplies,228897376
AL,Air Lease,Rental & Leasing Services,4309602300
ALAR,Alarum Technologies,Software - Infrastructure,6556612
ALB,Albemarle,Specialty Chemicals,23954144400
ALBT,Avalon GloboCare,Real Estate Services,17999778
ALC,Alcon,Medical Instruments & Supplies,40224322000
ALCC,AltC Acquisition,Shell Companies,675951468
ALCO,Alico,Farm Products,176744616
ALCY,Alchemy Investments Acquisition Corp 1,Shell Companies,132647310
ALDX,Aldeyra Therapeutics,Biotechnology,576977540
ALE,ALLETE,Utilities - Diversified,3540994836
ALEC,Alector,Biotechnology,632640162
ALEX,Alexander & Baldwin,REIT - Diversified,1342985300
ALG,Alamo Group,Farm & Heavy Construction Machinery,2135457940
ALGM,Allegro MicroSystems,Semiconductors,7470735840
ALGN,Align Technology,Medical Devices,22265681830
ALGS,Aligos Therapeutics,Biotechnology,42741600
ALGT,Allegiant Travel Company,Airlines,1840319940
ALHC,Alignment Healthcare,Healthcare Plans,1267810860
ALIM,Alimera Sciences,Drug Manufacturers - Specialty & Generic,17000657
ALIT,Alight,Software - Application,4680568621
ALK,Alaska Air Group,Airlines,5694597720
ALKS,Alkermes,Biotechnology,5063367836
ALKT,Alkami Technology,Software - Application,1307535032
ALL,The Allstate Corporation,Insurance - Property & Casualty,30958708560
ALLE,Allegion,Security & Protection Services,9612574747
ALLG,Allego,Auto Parts,587513048
ALLK,Allakos,Biotechnology,424145490
ALLO,Allogene Therapeutics,Biotechnology,886719360
ALLR,Allarity Therapeutics,Biotechnology,5802087
ALLT,Allot,Software - Infrastructure,98428802
ALLY,Ally Financial,Credit Services,7950698819
ALNY,Alnylam Pharmaceuticals,Biotechnology,23752089240
ALOR,ALSP Orchid Acquisition Corporation I,Shell Companies,75127832
ALOT,AstroNova,Computer Hardware,111896467
ALPA,Alpha Healthcare Acquisition Corp. III,Shell Companies,202632250
ALPN,Alpine Immune Sciences,Biotechnology,455675100
ALPP,Alpine 4 Holdings,Metal Fabrication,417685821
ALPS,Alpine Summit Energy Partners,Oil & Gas E&P,25808567
ALRM,Alarm.com Holdings,Software - Application,2509413790
ALRN,Aileron Therapeutics,Biotechnology,6175991
ALRS,Alerus Financial,Banks - Regional,297189308
ALSA,Alpha Star Acquisition,Shell Companies,155261500
ALSN,Allison Transmission Holdings,Auto Parts,4492663568
ALT,Altimmune,Biotechnology,221262261
ALTG,Alta Equipment Group,Rental & Leasing Services,489729353
ALTI,AlTi Global,Asset Management,571921664
ALTO,Alto Ingredients,Specialty Chemicals,167432531
ALTR,Altair Engineering,Software - Infrastructure,5640738172
ALTU,Altitude Acquisition,Shell Companies,89141518
ALV,Autoliv,Auto Parts,7465476004
ALVO,Alvotech,Drug Manufacturers - Specialty & Generic,2195080017
ALVR,AlloVir,Biotechnology,392133720
ALX,Alexander's,REIT - Retail,824469825
ALXO,ALX Oncology Holdings,Biotechnology,261114570
ALYA,Alithya Group,Information Technology Services,176044422
ALZN,Alzamend Neuro,Biotechnology,48220048
AM,Antero Midstream,Oil & Gas Midstream,5127522640
AMAL,Amalgamated Financial,Banks - Regional,456421938
AMAM,Ambrx Biopharma,Biotechnology,717982200
AMAO,American Acquisition Opportunity,Shell Companies,35347164
AMAT,Applied Materials,Semiconductor Equipment & Materials,107287732131
AMBA,Ambarella,Semiconductor Equipment & Materials,2865290063
AMBC,Ambac Financial Group,Insurance - Specialty,657620769
AMBI,Ambipar Emergency Response,Waste Management,356137108
AMBO,Ambow Education Holding,Education & Training Services,7062586
AMBP,Ardagh Metal Packaging,Packaging & Containers,2146820000
AMC,AMC Entertainment Holdings,Entertainment,4192147895
AMCR,Amcor,Packaging & Containers,15052831200
AMCX,AMC Networks,Entertainment,582084858
AMD,Advanced Micro Devices,Semiconductors,170408301972
